Title,Note,URL,Tags,Comment
,,,,
Dropped pin,"rockler wood working reccomendation, flight place, rc track, oval track, crawling spot. ","https://www.google.com/maps/search/39.5317988,-105.0611461",,
Devils Backbone Trail,"was a recommended from a YouTube subscriber up north in Colorado, would be smart to go here to get some data points for app users up north.",https://www.google.com/maps/place/Devils+Backbone+Trail/data=!4m2!3m1!1s0x876951d8c31884fb:0x993a6965c04fdabe,,
Dropped pin,,"https://www.google.com/maps/search/39.7753346,-105.1153264",,
Dropped pin,,"https://www.google.com/maps/search/39.7753714,-105.1150196",,
Dropped pin,,"https://www.google.com/maps/search/39.7754619,-105.1147158",,
Dropped pin,,"https://www.google.com/maps/search/39.7753647,-105.114738",,
Dropped pin,,"https://www.google.com/maps/search/39.7757479,-105.1154226",,
Bridal Veil Falls,,https://www.google.com/maps/place/Bridal+Veil+Falls/data=!4m2!3m1!1s0x87696e59a580fb29:0x7974705ff30ceb6b,,
Maxwell Falls Trailhead,,https://www.google.com/maps/place/Maxwell+Falls+Trailhead/data=!4m2!3m1!1s0x876b74e3cd9940bf:0xd6fc5e03e1b9063c,,
Tablelands,,https://www.google.com/maps/place/Tablelands/data=!4m2!3m1!1s0x4b7be37aa7b68a85:0xb81df2dcc4d4ba33,,
Northeast Colorado Springs,,https://www.google.com/maps/place/Northeast+Colorado+Springs/data=!4m2!3m1!1s0x87134e3541538469:0x4f524ea29e26736a,,
Dropped pin,"Comp spot, known by people","https://www.google.com/maps/search/39.7055366,-105.106456",,
"39°55'49.9""N 105°25'19.9""W",From comp crawler fb group casey,"https://www.google.com/maps/search/39.930528,-105.422194",,
Coal Creek,,https://www.google.com/maps/place/Coal+Creek/data=!4m2!3m1!1s0x876b9516b29516f7:0x5446c0aebc6fe01,,
Lost Canyon Ranch Open Space,,https://www.google.com/maps/place/Lost+Canyon+Ranch+Open+Space/data=!4m2!3m1!1s0x876cbd755aa1c017:0xdfe4ebda06444387,,
653 S Fraser St,From aaron rock pile aurora,https://www.google.com/maps/place/653+S+Fraser+St/data=!4m2!3m1!1s0x876c62edc152d233:0x1ca1446826f6d9e8,,
Dropped pin,,"https://www.google.com/maps/search/39.7489831,-105.1643424",,
"39°57'24.0""N 105°13'24.8""W",From paul,"https://www.google.com/maps/search/39.9566683,-105.2235441",,
Dropped pin,,"https://www.google.com/maps/search/39.7470918,-105.1532337",,
Dropped pin,,"https://www.google.com/maps/search/39.7472846,-105.1278895",,
Alderfer/Three Sisters East Trailhead,,https://www.google.com/maps/place/Alderfer%2FThree+Sisters+East+Trailhead/data=!4m2!3m1!1s0x876b9e36a3acca67:0xb4f6baa6ce35df71,,
Three sisters,,https://www.google.com/maps/place/Three+sisters/data=!4m2!3m1!1s0x876b9fa1cf1f0783:0x7e2585dde8bbf15f,,
4925 Boonsboro Rd #130,,https://www.google.com/maps/place/4925+Boonsboro+Rd+%23130/data=!4m2!3m1!1s0x89b2d79f28399d4d:0x85a16bfa8d155e7b,,
Dropped pin,,"https://www.google.com/maps/search/39.746793,-105.1522208",,
Dropped pin,Mini moad,"https://www.google.com/maps/search/39.8956737,-105.0551876",,
Dropped pin,Rre red side,"https://www.google.com/maps/search/39.6554112,-105.1964223",,
Dropped pin,,"https://www.google.com/maps/search/39.5342331,-105.1184337",,
Black Bear Trail,,https://www.google.com/maps/place/Black+Bear+Trail/data=!4m2!3m1!1s0x876bbd0bdd63ac1d:0xcd42e536ac8bc0e4,,
Crown Rock Trailhead,,https://www.google.com/maps/place/Crown+Rock+Trailhead/data=!4m2!3m1!1s0x876bec1397e74d8f:0xdfd409867a7ebde6,,
Dropped pin,,"https://www.google.com/maps/search/39.7482554,-105.1638506",,
The Peoples’ Crossing,,https://www.google.com/maps/place/The+Peoples%E2%80%99+Crossing/data=!4m2!3m1!1s0x876bec1c1a2404f9:0x75a45deaa1933b8e,,
Dakota Ridge Trailhead,Good incline,https://www.google.com/maps/place/Dakota+Ridge+Trailhead/data=!4m2!3m1!1s0x876b83445c3247e5:0x766b694239d118d1,,
"39°46'54.9""N 104°54'12.7""W",Other crawling comp loc,"https://www.google.com/maps/search/39.7819167,-104.9035278",,
56 Slate Stone Ln,,https://www.google.com/maps/place/56+Slate+Stone+Ln/data=!4m2!3m1!1s0x885edf413b8c6d7b:0xcfa4df633c95e463,,
Dropped pin,,"https://www.google.com/maps/search/39.9009912,-105.0424203",,
Dropped pin,,"https://www.google.com/maps/search/39.8998466,-105.0385911",,
Applewood,Bdnshhah,https://www.google.com/maps/place/Applewood/data=!4m2!3m1!1s0x876b8698cbd8898d:0xa68faad1874c6586,,
Fort Phoenix State Reservation,,https://www.google.com/maps/place/Fort+Phoenix+State+Reservation/data=!4m2!3m1!1s0x89e4e15ab6dc1359:0x62f9a7f2e04e87c1,,
Dropped pin,,"https://www.google.com/maps/search/39.6529927,-105.0421745",,
Nederland Community Center,,https://www.google.com/maps/place/Nederland+Community+Center/data=!4m2!3m1!1s0x876bc6c8ae7668ad:0xec746b7baa31dee6,,
Pinecliffe,,https://www.google.com/maps/place/Pinecliffe/data=!4m2!3m1!1s0x876bc0128cc7ac97:0xbdfdac5a0a37e659,,
