id,title,lat,lng,note,comment,flagged_far_from_denver,miles_from_denver,resolved_label,source_url
1,Dropped pin,39.5317988,-105.0611461,"rockler wood working reccomendation, flight place, rc track, oval track, crawling spot.",,,14.8,,"https://www.google.com/maps/search/39.5317988,-105.0611461"
2,Devils Backbone Trail,40.4191736,-105.1563548,"was a recommended from a YouTube subscriber up north in Colorado, would be smart to go here to get some data points for app users up north.",,,47.8,"Devils Backbone Trail, Colorado 80538",https://www.google.com/maps/place/Devils+Backbone+Trail/data=!4m2!3m1!1s0x876951d8c31884fb:0x993a6965c04fdabe
3,Dropped pin,39.7753346,-105.1153264,,,,7.1,,"https://www.google.com/maps/search/39.7753346,-105.1153264"
4,Dropped pin,39.7753714,-105.1150196,,,,7.1,,"https://www.google.com/maps/search/39.7753714,-105.1150196"
5,Dropped pin,39.7754619,-105.1147158,,,,7.1,,"https://www.google.com/maps/search/39.7754619,-105.1147158"
6,Dropped pin,39.7753647,-105.114738,,,,7.1,,"https://www.google.com/maps/search/39.7753647,-105.114738"
7,Dropped pin,39.7757479,-105.1154226,,,,7.1,,"https://www.google.com/maps/search/39.7757479,-105.1154226"
8,Bridal Veil Falls,40.4355391,-105.5511104,,,,56.5,Bridal Veil Falls,https://www.google.com/maps/place/Bridal+Veil+Falls/data=!4m2!3m1!1s0x87696e59a580fb29:0x7974705ff30ceb6b
9,Maxwell Falls Trailhead,39.5624678,-105.3767184,,,,23.9,Maxwell Falls Trailhead,https://www.google.com/maps/place/Maxwell+Falls+Trailhead/data=!4m2!3m1!1s0x876b74e3cd9940bf:0xd6fc5e03e1b9063c
10,Tablelands,49.4379014,-57.9982852,,,YES,2365.4,Tablelands,https://www.google.com/maps/place/Tablelands/data=!4m2!3m1!1s0x4b7be37aa7b68a85:0xb81df2dcc4d4ba33
11,Northeast Colorado Springs,38.9077436,-104.8231956,,,,58.1,Northeast Colorado Springs,https://www.google.com/maps/place/Northeast+Colorado+Springs/data=!4m2!3m1!1s0x87134e3541538469:0x4f524ea29e26736a
12,Dropped pin,39.7055366,-105.106456,"Comp spot, known by people",,,6.6,,"https://www.google.com/maps/search/39.7055366,-105.106456"
13,"39°55'49.9""N 105°25'19.9""W",39.930528,-105.422194,From comp crawler fb group casey,,,26.5,,"https://www.google.com/maps/search/39.930528,-105.422194"
